state;statenum;trend;treated;treated_post;lncase;afdcben;unemp;empratio;mon_d2;mon_d3;mon_d4;caseload;popn;empratio_raw;south;control;T0
AK;2;14;0;0;-4.298475266;9.800000191;10.19999981;-0.892771244;0;0;1;7394;542414;0.409519285;0;1;117
AK;2;15;0;0;-4.293442249;9.800000191;10.19999981;-0.901767313;0;0;1;7440;542846;0.405851752;0;1;117
AK;2;16;0;0;-4.311970234;9.800000191;11.5;-0.926846445;0;0;0;7312;543277;0.395799935;0;1;117
AK;2;17;0;0;-4.297134399;9.800000191;11.80000019;-0.92171824;0;0;0;7430;543708;0.397834867;0;1;117
AK;2;18;0;0;-4.249959946;9.800000191;11;-0.915757895;0;0;0;7798;544140;0.400213182;0;1;117
AK;2;19;0;0;-4.242703438;9.800000191;10.30000019;-0.912475765;1;0;0;7864;544571;0.401528925;0;1;117
AK;2;20;0;0;-4.259768009;9.800000191;10;-0.883796155;1;0;0;7740;545002;0.413211316;0;1;117
AK;2;21;0;0;-4.259641171;9.800000191;9;-0.849672496;1;0;0;7750;545434;0.427554935;0;1;117
AK;2;22;0;0;-4.281013012;9.800000191;7.699999809;-0.812983632;0;1;0;7595;545865;0.443532735;0;1;117
AK;2;23;0;0;-4.304415226;9.800000191;7.300000191;-0.832420886;0;1;0;7428;546296;0.434994936;0;1;117
AK;2;24;0;0;-4.310976982;9.800000191;7.400000095;-0.858322442;0;1;0;7388;546728;0.42387256;0;1;117
AK;2;25;0;0;-4.333209038;10.09000015;8.399999619;-0.866842747;0;0;1;7234;547159;0.420276374;0;1;117
AK;2;26;0;0;-4.333947659;10.09000015;8.300000191;-0.872517586;0;0;1;7234;547655;0.417898118;0;1;117
AK;2;27;0;0;-4.323543072;10.09000015;8;-0.879317045;0;0;1;7315;548151;0.415066272;0;1;117
AK;2;28;0;0;-4.329762936;10.09000015;9;-0.90538615;0;0;0;7275;548647;0.404385686;0;1;117
AK;2;29;0;0;-4.315347672;10.09000015;8.899999619;-0.898337305;0;0;0;7386;549142;0.407246202;0;1;117
AK;2;30;0;0;-4.264755726;10.09000015;7.699999809;-0.886567891;0;0;0;7775;549638;0.412067592;0;1;117
AK;2;31;0;0;-4.26599741;10.09000015;7;-0.877103865;1;0;0;7771;550134;0.415985912;0;1;117
AK;2;32;0;0;-4.268791676;10.09000015;6.699999809;-0.849725902;1;0;0;7755;550630;0.427532107;0;1;117
AK;2;33;0;0;-4.290496349;10.09000015;6.199999809;-0.816497505;1;0;0;7594;551126;0.441976964;0;1;117
AK;2;34;0;0;-4.327702999;10.09000015;5.300000191;-0.78308481;0;1;0;7322;551622;0.456994087;0;1;117
AK;2;35;0;0;-4.343146324;10.09000015;5;-0.800524831;0;1;0;7215;552117;0.449093223;0;1;117
AK;2;36;0;0;-4.359662056;10.09000015;5.599999905;-0.82921803;0;1;0;7102;552613;0.4363904;0;1;117
AK;2;37;0;0;-4.357291222;10.65999985;6.300000191;-0.840779126;0;0;1;7124;553109;0.431374282;0;1;117
AK;2;38;0;0;-4.34890461;10.65999985;6.5;-0.847094655;0;0;1;7211;554439;0.428658515;0;1;117
AK;2;39;0;0;-4.354860783;10.65999985;6.699999809;-0.862004519;0;0;1;7195;555768;0.422314703;0;1;117
AK;2;40;0;0;-4.356514454;10.65999985;8.399999619;-0.830556631;0;0;0;7210;557098;0.435806632;0;1;117
AK;2;41;0;0;-4.3070364;10.65999985;8.300000191;-0.832885861;0;0;0;7604;558427;0.434792727;0;1;117
AK;2;42;0;0;-4.280441284;10.65999985;7.599999905;-0.824584723;0;0;0;7838;559757;0.438417017;0;1;117
AK;2;43;0;0;-4.272988796;10.65999985;7.300000191;-0.825832129;1;0;0;7926;561086;0.437870473;0;1;117
AK;2;44;0;0;-4.276695251;10.65999985;7.300000191;-0.811817408;1;0;0;7926;562416;0.444050312;0;1;117
AK;2;45;0;0;-4.280637741;10.65999985;6.599999905;-0.783477426;1;0;0;7924;563745;0.456814706;0;1;117
AK;2;46;0;0;-4.28521347;10.65999985;5.800000191;-0.756806076;0;1;0;7917;565075;0.469162494;0;1;117
AK;2;47;0;0;-4.26839304;10.65999985;5.699999809;-0.770196199;0;1;0;8081;566404;0.462922215;0;1;117
AK;2;48;0;0;-4.280763149;10.65999985;6;-0.801319301;0;1;0;8011;567734;0.448736548;0;1;117
AK;2;49;0;0;-4.248028278;11.40999985;7;-0.815367937;0;0;1;8308;569063;0.442476481;0;1;117
AK;2;50;0;0;-4.24007988;11.40999985;7.199999809;-0.8238554;0;0;1;8407;570531;0.438736886;0;1;117
AK;2;51;0;0;-4.207645893;11.40999985;7.400000095;-0.839945018;0;0;1;8718;572000;0.431734264;0;1;117
AK;2;52;0;0;-4.201256275;11.40999985;9.100000381;-0.868400097;0;0;0;8808;573468;0.419622362;0;1;117
AK;2;53;0;0;-4.171857357;11.40999985;9.399999619;-0.866844535;0;0;0;9106;574937;0.420275599;0;1;117
